name,ratings,date,helpful,comment,developer_comment
Blue,Rated 1 stars out of five stars,31-Mar-21,26,I've had this app on my phone for months and it hasn't alerted once! How is that possible when I go to Wal-Mart and run errands at least once a week. I also noticed that no matter how many hours I'm out and about the ONLY time it does its random checks is when I'm home! One day in particular I was in and out of my house a couple of times and I compared the documented checks with my Google maps log and all 4 checks were while I was obviously home! This app is totally useless if NO ONE USES IT!!,"CT Department of Public HealthApril 5, 2021The app will only alert you if you are within 15 feet for 15 min, walking around a store will more than likely not trip the notification. The checks you are seeing are simply the uplink to the server that records the phones you were near. That way it can notify those devices."
Nick-E Nicole,Rated 1 stars out of five stars,28-Dec-20,53,"Why ONLY allow the fingerprint scan option and not offer the password/pin option? (Meanning I cannot access the scanned list). Is it that challenging for the devs to realize we all don't utilize/have access to the SAME FEATURES. This app is the equivalent of a paperweight, in my phone.","CT Department of Public HealthJanuary 22, 2021Thanks for your feedback! We deeply respect your advice, and we will try to combine your feedback with our R&D, in order to provide better products."
Cara-Lynn Turner,Rated 1 stars out of five stars,4-Jan-21,59,"I work in a residential facility where both staff and residents have cell phones. Not once, with any positive case, has this app notified me of an exposure. Very disappointing.","CT Department of Public HealthJanuary 22, 2021This is why we need more people using the app, we have a third of our residents using the app. The more we can get to download and install the safer our communities will be."
B,Rated 1 stars out of five stars,7-Jan-21,4,"This App does nothing, I have been in contact with several people who had tested positive for COVID and this app did not alert me to anything.","CT Department of Public HealthJanuary 26, 2021Hello, maybe the contact you were around did not have the app installed or configured. Your problem needs more detailed examination. Please report it to our technical support team at DPH.CovidAlertCT@ct.gov. We are always looking to help our users."
solid snake,Rated 1 stars out of five stars,20-Feb-21,4,Pointless app. I've had one exposure alert.,"CT Department of Public HealthApril 5, 2021We apologize for the inconvenience. Can you be more specific please so that we can identify the issue? Don't hesitate to reach out to us at DPH.CovidAlertCT@ct.gov."
Martin K,Rated 1 stars out of five stars,11-Feb-21,3,I support this app in principle but I cannot find the source code. Without access to the source code there can be no trust.,"CT Department of Public HealthFebruary 16, 2021We apologize for the inconvenience. Can you be more specific please so that we can identify the issue? Don't hesitate to reach out to us at DPH.CovidAlertCT@ct.gov."
Michael Reid,Rated 1 stars out of five stars,6-Jan-21,5,Deficiencies with this app. A. Not everyone in Ct. has this installed on their cell phone. B. Not everyone that tests positive is reporting it. There's been 2 ppl at work that recently tested positive and this app never alerted me.,"CT Department of Public HealthJanuary 26, 2021This is exactly why we need more residents to install the app."
Mike Lerch,Rated 1 stars out of five stars,1-May-21,45,"Overreaching, evil tracking, just so govt can get you used to ""social tracking"" & who you intact with Edit 5/2021: thank you for the reply. Establishing a list of recipients to alert requires the app to connect to and extange information from nearby bluetooth devices, running continuously/silently in the background. Monitoring the individuals we interact with in 6ft. It is not anonymous if the app can identify the user to alert them, there is an unique traceable indentifier somewhere","CT Department of Public HealthJanuary 26, 2021No, not at all. This app simply uses bluetooth to alert you and those around you if have been exposed to COVID. This app is not a tracker, or social recorder. It simply alerts you if you have been exposed. If you become positive it would alert people who have been within 6ft of your phone. completely anonymously "
Zak Gurski,Rated 1 stars out of five stars,11-Jan-21,3,"Not useful at all. Based on responses by the Dev, this app uses Bluetooth to communicate with other phones that have the app and are atleast 6ft from you for 15 min...that means if someone is in my 6ft circumference and has COVID but walks away before the 15 min, the app won't notify me?","CT Department of Public HealthJanuary 26, 2021This based on CDC guide lines. No Zak it wont as you were not with in the parameters that would cause a need to get tested."
Fred Janson,Rated 1 stars out of five stars,2-Jan-21,2,Totally pointless. Unless everyone else is using theres no point in having it. My wife and I have been around several people who have been covid positive and never received a warning.,"CT Department of Public HealthJanuary 22, 2021This is why we need more people using the app, we have a third of our residents using the app. The more we can get to download and install the safer our communities will be."
OG_Skullkid 13,Rated 1 stars out of five stars,12-May-21,4,This app is garbage. Its for conspiracy nuts who just cant get over the bs. Theres no need to continue perpetuating this kind of fear. This is a garbage app that does literally nothing except monitor and track what youve been doing and where youve been going. Nothing more nothing less. What should scare you all is that this kind of software exists and is being used to track your habbits for marketing purposes and keep you in fear. Get over yourselves. Its over.,
