name,ratings,date,helpful,comment,developer_comment
Christine F,Rated 1 stars out of five stars,13-Jun-21,1,App wont open anymore. I saw on the news that some states are beginning to eliminate reporting daily covid numbers due to the high amount of declining cases. This could be why the app isn't working anymore.,
AL G,Rated 1 stars out of five stars,21-Apr-21,47,"This app is becoming increasingly useless as the number of people getting fully vaccinated increases, and as it fails to gather vaccination data. IF THIS CONDITION CONTINUES, I'LL HAVE NO CHOICE BUT TO UN-INSTALL THIS APP. I SUGGEST THAT OTHERS DO THE SAME. I suggest changing the data that you gather to include: - vaccination info (if obtained, what type, when #1, when #2, etc) - positive/negative test results - self-reported symptoms. All the above can be very useful public health data.",
Owen Iozzio,Rated 1 stars out of five stars,7-Jun-21,100,Instantly crashes when launching after latest update,
Chris Etler,Rated 1 stars out of five stars,8-Apr-21,30,"Since the app came out only 1500 people have even entered their contact tracing number, despite thousands of cases a day. Without proper contact tracing this app is useless",
Mike Ehrmann,Rated 1 stars out of five stars,3-May-21,40,Stats like deaths and hospitalizations hasn't been updated in a month or more. Other stats are sometimes days late. Information has become useless. What else does this do besides track us?,
T Sab,Rated 1 stars out of five stars,8-May-21,9,"Work in ER, around Covid patients constantly. Never alerted once. So there is clearly not enough user base for this app to be effective.",
Roibeárd Billson,Rated 1 stars out of five stars,8-Mar-21,72,"Still does not work for me. Tried turning off WiFi & Bluetooth—no difference. Gives ""Error 104"" —totally unhelpfull. Uninstalling. For those complaining about vaccine being unavailable, well it is NJ. We don't do anything sensibly. In my area, there 3 websites (State, Atlantic Health & RWJ). All are unconnected, so need register on all 3—and wait. Seriously? 😠",
Donna Phelan,Rated 1 stars out of five stars,1-Mar-21,87,"Ĺeads you to believe it will let you know where to get vaccinated. Nj has the worst system as it relates to vaccines. It so simple, every area code has there own site, if you prove you live in that zip, you can get vaccinated. Its a no brainer, but the state has NO CLUE!!!",
Bonnie Meigs,Rated 1 stars out of five stars,18-Mar-21,21,"Uninstalling. Does not give exposure alerts. I did not update the app to say I had covid, but the state knows and called me. I don't get exposure notifications when I'm at my house. The whole reason I downloaded this was to be notified of possible exposure and I have never gotten a notification ever. Waste of time.",
Daniel MacMahon,Rated 1 stars out of five stars,9-Mar-21,13,"Has ANYONE on this review thread been notified of a positive Covid-19 contact? Anyone? I was encouraged to download and use this app when I was first tested in Union County. I checked in with my status every day, for many months. I have NEVER been notified of a potential Covid-19 exposure. As a first responder, I know that I have been within close contact with dozens of Covid-positive people. I have lost confidence that this is a valid weapon against the continuing pandemic.",
Shawn Roberts,Rated 1 stars out of five stars,21-Mar-21,4,"This app is useless to users. I've been close, very close, to at least 5 people who have all gotten Covid, none of them caused any notification to my app. I also know that the contact tracers were only asking if they knew about the app, not to do anything to trigger the positive notifications. I know notifications are on because I get one monthly to remind me it's running, well, got one monthly, I have since uninstalled it because it's useless to me as an end user.",
J Newt,Rated 1 stars out of five stars,26-Dec-20,112,"Absolutely worthless. Contracted covid from a person that contracted covid while in hospital. The contact tracer was not able to get the 6 digit code I needed for the app. Also Drs are refusing to test likely positive people. There's no way to use the app as intended without a test or a code, don't bother with the invasion of privacy.",
Brian Gallagher,Rated 1 stars out of five stars,1-Jan-21,141,"I tested positive yesterday, but there is no way to tell the app. I can only report symptoms. Apparently I need a 6 digit code from some health department to let the app know I was positive. So until I get that code nobody who was in proximity to me will get a notification and will therefore keep spreading the 'rona.",
Penelope Lopez,Rated 1 stars out of five stars,22-Dec-20,32,"Your ""ENABLE EXPOSURE ALERT"" button has not worked since its launch. Gone into settings > exposure alert > enable and NOTHING. Have an Android phone but know of iPhone users with the same problem. Located in Morris County, NJ. PLEASE FIX THIS!!",
Ines Bosi,Rated 1 stars out of five stars,20-Mar-21,3,Don't work!! Just useless. Deinstalling.,
