name,ratings,date,helpful,comment,developer_comment
bruce needleman,Rated 1 stars out of five stars,1-Apr-21,62,"The app is really only useful if widely used. Much like the new Excelsior pass, if it's use is not mandated or widely used voluntarily, it is essentially useless.",
Ms Tiffany,Rated 1 stars out of five stars,11-Apr-21,46,Worthless app. does not work. People close to me are now dying from Covid and this worthless app helped no one. It drains battery on bluetooth and that's all it does. I am however fully vaccinated. UNINSTALLED,
Paulo Bud,Rated 1 stars out of five stars,5-Apr-21,27,"The app is a great idea, but it's useless because no one is using it. It should be mandatory. I'll uninstall because it does not work with only 500K installs.",
John Kim,Rated 1 stars out of five stars,18-May-21,4,This app is useless and doesn't work. I was positive for covid but it didn't notify my gf who also had the app. None of the Healthcare providers or health departments seem to know about this app.,
Eugene Han,Rated 1 stars out of five stars,25-Mar-21,72,Lacking in functionality to inform users... Doesn't link outside the app to get additional up-to-date information and directives from government agencies.,
Steven Gabris,Rated 1 stars out of five stars,11-Feb-21,191,"Caused 6 other apps to fail and stop working. Uninstalled from phone, but still getting this apps notifications when Bluetooth is disabled. Very disappointed. Not recommended.",
Subwayplay 92,Rated 1 stars out of five stars,3-Mar-21,142,Invasive use of solicitation to user by recommending via notification outside of the app store. I should not be getting push notifications that override my settings for these to be unable to do so. Google and affiliates are invading users privacy by doing so.,
Ravy Gravy,Rated 1 stars out of five stars,3-Mar-21,109,"App can be manipulated for false positives. After providing symptoms, it tells me unfortunately and I may have Covid-19, yet these symptoms are for a different diagnosis that someone like myself deals with due to other health reasons. So basically this app is not fool proof and cannot be taken seriously. I'm now uninstalling it and hope that no residue applications within the app has been left behind in my device as some apps do leave behind unwanted features. Use at your own discretion",
Rayad Khan,Rated 1 stars out of five stars,22-Mar-21,68,"Uninstalling this app as it doesn't seem to actually be used by any NYC contact tracing group. When I tested positive for covid, neither of the two contact tracing officials brought it up or could give me a code to notify people I was in contact with. What was the point lol?",
Tukkun Nizura,Rated 1 stars out of five stars,4-Feb-21,64,my bluetooth always on cause my wireless ear buds. I work in a clinic that does covid testing and people who have symptoms for covid. not 1 notification.,
First Name Last Name,Rated 1 stars out of five stars,27-Feb-21,20,Pointless if no one else uses it. At this point I trust other people as far as the magic yellow lines in the road.,
* USA *,Rated 1 stars out of five stars,11-Feb-21,57,"This is stupid. Google the CDC weekly flu numbers and you'll see all these Covid numbers are actually flu. There's 23 total flu for 1 week in USA but a billion covid cases? Bullcrap. They just want to do ""the great reset"" .",
Michael Kolberg,Rated 1 stars out of five stars,9-Apr-21,3,The only alert I got from this app was when I turn my Bluetooth off at home. I constantly get the notification telling me it can't check for exposures. I spent a while work day with someone that just came off quarantine and didn't get a notification then. There's too many variables for this to be useful and the constant bluetooth notifications were just annoying.,
Antonio Caia,Rated 1 stars out of five stars,23-Apr-21,3,Waste of space. Waste of memory. Useless,
regina connors,Rated 1 stars out of five stars,27-Apr-21,1,"This did nothing for anyone in suburban and rural communities in New York State. A great idea, but a waste of time.",
Midnight Hoss,Rated 1 stars out of five stars,29-May-21,1,"Nobody has ever died of covid 19. It is fake. If you use this app, you're a knuckle dragger.",
Carrie Nunyabidness,Rated 1 stars out of five stars,15-Dec-20,121,"Says my Bluetooth is off, but it is on (following the link to settings changes nothing) and the only other option is to turn it off. I have no idea how this app works because I was under the impression it was working this whole time and can't turn Bluetooth on when it already is on. BT works fine for my headphones its weird that this app says its not on.",
Emilie Dishongh,Rated 1 stars out of five stars,17-Dec-20,0,"I just get an error to check my network connection (which is fully functional), and it won't finish setup. I've tried downloading and installing multiple times over a couple months. Oh well.",
Hendogbx,Rated 1 stars out of five stars,18-May-21,0,No place to download im fully vaciantated app or passport,
T Newman,Rated 1 stars out of five stars,27-Jan-21,8,"We had the app and have since deleted it. We caught Covid. There is no way to state so in the app. You need to wait for the Health Dept to do something with it. By the time we received a call from the HD (poor staff are so over worked because people are careless!) we were almost off quarantine, so they didn't bother doing anything with the app or contact tracing (which we had already done on our own anyway). The app was a waste! Totally defeated the purpose of it.",
Filip V.,Rated 1 stars out of five stars,26-Dec-20,38,"I give it 1 star and a thumb up, that's for all information you can find on this app. But I can't give more stars because the most important feature of this app is to let others know that you get tested for Covid, but it doesn't work! The code you are supposed to get from a Trace worker doesn't work, so the app can't (anonymously) send out important information and contact other people or their devices... (I reinstalled the app, turned of/on bluetooth, and tried multiple codes = nothing worked)",
Paul Camman,Rated 1 stars out of five stars,15-Apr-21,1,I want to register my covid-19 vaccines and this site does not allow me.,
B Nguyen,Rated 1 stars out of five stars,3-Mar-21,4,"App can be manipulated for false positives. After providing symptoms, it tells me unfortunately and I may have Covid-19, yet my symptoms are for a different diagnosis that someone like myself deals with daily due to other health reasons. So basically this app is not fool proof and cannot be taken seriously. I'm now uninstalling it and hope that no residue applications within the app has been left behind in my device as some apps do leave behind unwanted features. Use at your own discretion.",
David O'Brien-Davis,Rated 1 stars out of five stars,4-Mar-21,11,"This app is full of security holes. Leaves your Bluetooth open to vulernability. It's a great concept, but I work from home and I'd rather not risk (more) identity theft",
Mike J,Rated 1 stars out of five stars,26-Dec-20,6,"I'm a part time uber driver and food truck employee & this app definitely does not work. I deal with hundreds of people on a daily basis. And I never gotten a notification,, either people are lying or contact tracing does not work and a waste of tax paper money",
Sean Kennedy,Rated 1 stars out of five stars,15-Oct-20,10,"Bluetooth voice profile issue. As soon as this was installed (pixel 4xl with Android 11), all the ""voice"" profiles disappeared from my Bluetooth devices, audio remained so I could listen to music but could not hear or send voice calls over the device (ex car bluetooth, headset, etc). This essentially makes it a non starter for me. Disappointing. As soon as I uninstalled this app, all my problems went away.",
Chris Wilkinson,Rated 1 stars out of five stars,17-Jan-21,6,App is completely useless . I drive through all five boroughs and went through Brooklyn along Williamsburg and saw hundreds of people with no masks on in a certain neighborhood and my phone didn't ring once but it's a covid hot spot. Then I went to uptown Washington heights and Dyckman and it didn't ring once either there.,
Niti Lashka,Rated 1 stars out of five stars,25-Jan-21,4,It was working fine initially. After another update it took out the mortality rate. And now everybody is concerned about vaccine and it is not going to cover it. What is the point of this application at this time?,
Tabitha Davis,Rated 1 stars out of five stars,10-Dec-20,4,"Does not give updated information that is needed of positive cases in the area. Requires a code to be given out when you become a positive case. Not very descriptive and helpful into preventing the covid-19 issue . It also disrupts the use of other apps. For example messenger, facebook, and the use of your own wi-fi. While this app is running, shows on messenger for example that has to wait for the network to connect before it will work. Not a very good app needs more updates.",
Loretta S. H.,Rated 1 stars out of five stars,16-Oct-20,20,"Automatically turns on GPS location on Android devices, kills battery on s20 ultra (which is very hard to do regularly), and constantly notifies you to turn on your GPS when you turn it off when it clearly states that it uses Bluetooth. The fact that it does not use the tracker is not the point, it's the fact that the GPS locator itself drains your battery so conserve on battery it stays off so unless you can find a way to actually use the Bluetooth in Android devices this app is useless here.",
Jennifer Plante,Rated 1 stars out of five stars,5-Oct-20,11,"Just downloaded the app and it will not even open for me. Every time I try to open the app I get the same thing. I get booted right as soon as I try to access it. It really sounds like it is a good app to have and I hope the developers can update it and make it work properly, but until then I have to give 1 ★. Uninstalling now.",
Joshua Scarselli,Rated 1 stars out of five stars,24-Mar-21,2,It never alerted me to anything. Bet it just says on us.,
James Mitchell,Rated 1 stars out of five stars,14-Dec-20,18,I been around people who had covid and they have this app and everything but not showed that people i was around had it. But i will say that i am lucky that i have got it yet. I have been around 6 people so far that had it or has it. Time to get rid of this app. I dont need to track hie many people have it in my county. Thats all this app is really good for is to see the status of the covid in your county.,
James Shoemaker,Rated 1 stars out of five stars,27-Jan-21,16,Why can't I use this with another COVID exposure notification app? I live near both NY and CT. This should definitely be something to consider. Terrible. I have to pick one state.,
Anna Castillo,Rated 1 stars out of five stars,24-Nov-20,44,"Cant really use it for now. Bluetooth on and when I try to set it up ,the button for closeness alert won't work. I even uninstalled the app and reinstalled same thing. I really would like to be alerted. Please help. I have emailed also. I will change my rating once the app works for me. Thank you.",
Francoi Francoi,Rated 1 stars out of five stars,8-Nov-20,3,"As I said in my last review,my speaker worked fine after possibly being muted for a month when I uninstalled this app. There is nothing concerning in this app neither a virus or malware, but you can get your speaker muted for free by installing this. Just wrote another because I'm still wondering where my original review went.",
Ian Scheil,Rated 1 stars out of five stars,1-Oct-20,712,"App is vulnerable and open to code manipulation and attacks via Bluetooth vulnerabilities. Scans via Indeoendsnt analysis software find vulnerabilities that can expose your personal device to attackers. Great idea, but the security is highly flawed for the time being until certain patches are developed by device manufacturers and app developers.",
Autumn-Diana Standingwolf,Rated 1 stars out of five stars,26-Nov-20,40,"Dosen't Work, No Support. I click turn on & nothing happens. Bluetooth is on. NFC on. Uninstalled/reinstalled. Updated my phone. Installed again same problem. I wrote the developer over 4 days ago no response. Only an automated message: thanks for doing your part to stop the spread. SGS9.",
D H,Rated 1 stars out of five stars,5-Jan-21,18,Does not work in conjunction with other covid apps. Must shut one off to use the other. Have NY and Connecticut. They will not work at the same time. Stupid!,
Stuart Rasch,Rated 1 stars out of five stars,27-Dec-20,17,"Useless.. i work doing COVID testing have yet to have the application alert me of a contact, yet I see many people every day who have tested positive.",
Lupine Dream,Rated 1 stars out of five stars,18-Oct-20,14,"I have seasonal allergies. Simply answering that i have a stuffy nose that i get every year on the seasonal transition between fall and winter gives me a ""You might have COVID-19, stay indoors"" message. Self assessment tool is broken. 1 star for neglecting to fix such a vital feature so that it's accurate. At least ask if we have preliminary conditions before worrying us or falsely flagging us. Negative COVID-19 test.",
Bryan Ludgate,Rated 1 stars out of five stars,26-Jan-21,12,Local health department has no access to the code required when tested positive. App is useless if the health department cannot use it.,
mark uhl,Rated 1 stars out of five stars,20-Dec-20,28,"there is no way to notify anyone if you contract covid. the app instructs to enter a code provided by someone who will call if ur test is positive. nobody called, not even after i sent a note asking for help. its now been 10 days since my PCR lab report. whats the point of building and releasing this and asking people to use it if the data isnt ever going to be used for anything? im just going to uninstall it cos its just eats my battery for no public benefit.",
Kevin Sim,Rated 1 stars out of five stars,1-Nov-20,27,"Google Exposure Notification API is not available on secondary profiles on the same Google device. Also not really useful since most people that really should be using this - schools, clinics, barbers, etc. - are not, and have not heard of this app!",
A O,Rated 1 stars out of five stars,1-Oct-20,110,"I'm super-pro-mask & virus safety, but can confirm other comment - app will make your phone vulnerable to bluetooth hacking. Also, be aware bluetooth & Location Services must be on 24/7 to work. Location tracking may be a worthwhile tradeoff for saving lives & finding hotspots, but I permanently disabled Location on my phone for privacy concerns, so this app will not work for me. Please be aware of the risks, mask up, social distance, & wash your hands.",
J.,Rated 1 stars out of five stars,26-Nov-20,19,"The app seems like it'd be useful, and I really wish I could use it. Unfortunately, it won't let me turn on alerts. No matter how many times I tap the button to turn on alerts, absolutely nothing happens. Disappointing.",
Raymond Kong,Rated 1 stars out of five stars,10-Oct-20,118,"If you watch this review because you have privacy concern against this app. I can tell you that.... there is ""no concern"". I confirm the app has no access to any personal info in your phone. I use third party product to scan it and confirm this. The application design really ensure that you cannot be tracked. Your privacy is safe. So, go ahead to download it to increase protection for youself.",
Good as Gold,Rated 1 stars out of five stars,3-Mar-21,11,Wake up to the scam. Who has died? No one dieing in the streets. And flu seemed to disappear. Go to CDC.gov website to see the real numbers. Don't believe me.,
Arturo Verticchio,Rated 1 stars out of five stars,26-Oct-20,9,"Propaganda, control: This app makes it easier for your overlords to trace where you have been and what you have been doing. You will submit to them and you will only learn the things that they want you to learn (because the only things that happen are on the news, right?). You will only be safe if they keep you safe, you can't keep yourself safe. 99% of people get better from this disease but this is the first time in human history that we have forced control over a population in this way.",
Jacob Goldbaum,Rated 1 stars out of five stars,5-Feb-21,4,I love Quomo he is the best NYC mayor in the last 20 years. He is the sexyist hottest e boy president. Love the app. App gave covid only to Karen. App very hot and sexy. Unfortunately not enough BBC.,
david Finley,Rated 1 stars out of five stars,10-Oct-20,11,BATTERY KILLER! I have a phone that can last approximately one week off of one charge. After installing this app the phone would only last approximately 6-8 hours and now takes 3 hours to charge instead of 40 minutes. This app literally destroyed my phone.,
Shelby Leipold,Rated 1 stars out of five stars,8-Nov-20,4,"I had this app, feeling like it was my duty as a New Yorker to help where I could, but after realizing that my county was withholding numbers and not fully reporting the positive cases, I uninstalled it.",
Hades Yoworld,Rated 1 stars out of five stars,17-Oct-20,20,It wouldn't stop telling me to download it via the play store notifications no matter how many times I cleared it. Within an hour it showed up again. So I only downloaded it to give this review. And hopefully this will stop the damn notifications.,
Barbara Perry,Rated 1 stars out of five stars,5-May-21,0,"Great idea, but not widely used, therefore useless. Now fully vaccinated, uninstalling.",
Martina Montes Rodriguez,Rated 1 stars out of five stars,1-Oct-20,88,I have no doubt that this is good BUT I do not like that even if you choose ONE symptom let's say Headache or even congestion or runny nose it straight up tells you that you may have covid. Like what if I have a headache period or a sinus infection. Dont like it wont use it,
Leung Cheung Li,Rated 1 stars out of five stars,13-Oct-20,32,"Idea behind the app is great, but this only works if EVERYONE downloads it and does their due diligence of reporting covid. Released for 3 weeks, only 100k+ downloads(not sure if this includes apple side). If people care that much to go through the motions of reporting, putting on a mask shouldn't be an issue on the first place.",
Junior's Digital Designs,Rated 1 stars out of five stars,21-Oct-20,2,"Idk, not impressed at all. If its supposed to be designed to do one thing, its sure not doing it. Just asks you mostly about your current health stats thats it. 😒 I was hoping it really detects when such a people has it.",
li le,Rated 1 stars out of five stars,2-Oct-20,120,The reviews are a bunch of bots claiming that the app works right but it does not. Currently it's October 2 and the inapp information has not been updated since September 29. So I'm currently 2 days with outdated information.,
Samantha Cocchi,Rated 1 stars out of five stars,2-Nov-20,6,"I didn't download this crapware spyware.... how did it get on my phone app?!?!? This was never downloaded by me, this was pushed on to my phone without my authorization.... You need to kick this abusive app developer off of the platform and never allow them back on",
Bobby Accord,Rated 1 stars out of five stars,3-Dec-20,3,"It keeps running in the background and running the battery life down on my phone Not cool at all , I realize Covid-19 is serious and it's good to know if someone is exposed but why run the app all the time in the background it serves no purpose other than killing the battery life of my phone .",
Ez Atkinson,Rated 1 stars out of five stars,5-Dec-20,37,Was around someone who tested positive and was in a cluster area and get no alert. This app does not work. You all must be collection other information from my phone but it sure was not covid19 information,
Keith White,Rated 1 stars out of five stars,6-Nov-20,2,"Keeps telling me that tracking is turned off, but when I click on the notification, it is turned on.",
Red Blue,Rated 1 stars out of five stars,26-Nov-20,2,I like the idea but I says some people test positive for the virus but that got tested and did not test positive see if maby this is a glich I would be nice to be fixed cus I love this thix for making it possible for us all,
Anthony Cassera,Rated 1 stars out of five stars,22-Oct-20,24,Waste of time and storage space. What's the point of an app that only transmits data from the phone and never anything useful to the phone? Uninstalling and not looking back.,
tommosm,Rated 1 stars out of five stars,31-Dec-20,15,I installed this months ago. I have yet to get any notifications. I guess it's busted.,
Taylorcrawford Walker,Rated 1 stars out of five stars,7-Oct-20,25,Takes entirely too long to load; I uninstalled in less than a week and might give it another try later.,
Peter MacMillan,Rated 1 stars out of five stars,19-Oct-20,6,App would be a great idea if it didn't drain your battery and use all your data all the time. I like the idea just not the abuse of resources.,
brian fimple,Rated 1 stars out of five stars,15-Dec-20,14,Reported false positive exposure on day I quarantined at home alone all day. No option in app or hotline to report false exposure notice.,
Arthur Barbato,Rated 1 stars out of five stars,5-Oct-20,17,"As a tracker, alert system it is a zero. Don't waste your time or battery.",
Toss Toad,Rated 1 stars out of five stars,10-Oct-20,31,The app is overall a trick. They already are tracking what they need to know. I just love puzzles.,
Delta Fyre,Rated 1 stars out of five stars,3-Oct-20,40,"not an app you want on your phone, very sketchy and sensitive with permissions and information access on the phone, do not install",
John Schlabach,Rated 1 stars out of five stars,15-Nov-20,12,"Causes phone issues, app crashes, causes phone to freeze. Junk",
Yang Su,Rated 1 stars out of five stars,19-Dec-20,12,"The installation is not mandatory, so the app is pretty much just placebo.",
Thomas Eddy,Rated 1 stars out of five stars,12-Dec-20,3,I'm curious on how anyone could defend this app when it violate HIPAA laws. If you go into a doctor's office and the secretary shows you her screen with someone else's name on the computer that's actually a violation of HIPAA laws so how is this not face it this app is illegal and should be removed as soon as possible or should be prosecuted to the full extent of the law,
Kenneth Dehn,Rated 1 stars out of five stars,29-Nov-20,1,No good you click on your county and shows rate but the rate is not true the news you watch reports other numbers what is the true numbers nobody knows hope by next year after vaccines come out we be back by summer or winter,
Emily Strauss,Rated 1 stars out of five stars,3-Mar-21,2,"I'm abit confused!! 2 Totally different Reviews!! 1 gets 1 Star, The 2nd gets 5 Stars!! Why is this App on my Phone!!?",
Roy Fischman,Rated 1 stars out of five stars,5-Oct-20,17,"The app says that if it is installed and the app user comes in contact with someone who is positive for covid the app user will be alerted. What method does the app use to alert the app user. Is there an audio alert, or some other way?",
zaida collaguazo,Rated 1 stars out of five stars,2-Oct-20,12,"I have an Apple device, it says it was installed but I don’t see it on my phone! Anyone having the same problem?",
Chris Harris,Rated 1 stars out of five stars,17-Oct-20,70,"This app should be illegal, takes away from personal privacy all for this plandemic paid for by Democrats including the creation of it!! I haven't worn a mask the entire plandemic as an essential worker, haven't been sick not once... Covid is NOTHING compared to the regular flu. It's all lies which in people are too stupid to think for themselves anymore & believe the FAKE MEDIA!",
heather winters,Rated 1 stars out of five stars,2-Oct-20,16,The circle of death just going around while waiting for download for hours. So i finally hit cancel.,
Justalilnip 607,Rated 1 stars out of five stars,11-Oct-20,18,Old data . None of this dose anything to prevent the spread. When the data is so old it its to late to do anything productive with,
Jason Willett,Rated 1 stars out of five stars,4-Nov-20,11,My wife and I were contacted by the New York health department and told we have been exposed to COVID and we have to self quarantine. Both of us were next to our family member with our cell phones that tested positive for COVID-19 and this app has yet to alert us that we have been in close proximity to someone who has tested positive for Covid-19.,
peg lin,Rated 1 stars out of five stars,4-Oct-20,14,Can't pass the second screen - hit next to confirm,
Cory,Rated 1 stars out of five stars,25-Mar-21,0,Designed for ios only.,
Richard Nardini,Rated 1 stars out of five stars,25-Oct-20,9,You need to have bluetooth on 24hrs a day. Kills battery,
Edwin Hernandez,Rated 1 stars out of five stars,28-Feb-21,2,It doesn't work. It big fat lie.,
Lu Schaeffer,Rated 1 stars out of five stars,18-Dec-20,4,"App does not work. Never alerted to exposure , when I know for a fact I was exposed",
Perilous Gmail,Rated 1 stars out of five stars,18-Nov-20,95,"Update: Dev continues completely tone-deaf, as evidenced by their reply below, which has ZERO to do with my review. Nowhere did I do so much as insinuate that the app was for medical diagnosis. I know exactly what the app is meant to do, & insulting my intelligence is not going to hide the fact that the app is useless & does not do the job. They still haven't fixed anything. Literally thousands of complaints similar to mine & they still don't get it. The entire point is that chronically ill people ALREADY HAVE BASELINE SYMPTOMS, and if those aren't entered into ANY tracing application, the RESULTS WILL BE WRONG. How are you allowed to work on this app or respond to questions without that basic understanding? This is very definition of ableist trash. I stand by my original review: Absolutely worthless garbage. They don't listen & things keep getting worse. Inexcusable incompetence. I dont want your lying responses, I want you to do your job or get out of the way so someone who can has the chance to fix your mess. This is ridiculous. *** Original review: How can you possibly do anything like this without first allowing for a person's baseline health? I've got chronic conditions that share C19 symptoms. This app now thinks I've got C19. This is thoughtless, ableist, privileged foolishness. Throwing the chronically ill under the bus, as always. Why do you refuse to learn? Uninstalled. I want to be part of the solution, but your ignorant gatekeeping shuts me out. Nice job.","New York State Department of HealthOctober 5, 2020We appreciate your feedback. The My Health Log feature is optional. Feedback the app provides is not a medical diagnosis of COVID-19 or any condition. My Health Log is a basic daily log of symptoms that you may be experiencing. We are sorry to see you go. You can always reinstall the app if you choose."
Chris Turner,Rated 1 stars out of five stars,8-May-21,0,Never worked or had an alert,
daniel cruz,Rated 1 stars out of five stars,25-Nov-20,6,Doea not alert you as advertised. It is useless in preventing or warning,
TheBlukePhenomenon,Rated 1 stars out of five stars,6-Dec-20,6,Doesn't work. It never says if I'm near anyone.,
